SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
KSM.F112;KSM ETF LV XNDXNNR X3;KSM.F112;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F113;KSM ETF 6D LV DAXNR X3;KSM.F113;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F114;KSM ETF LVSHO SPTR500N X2;KSM.F114;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F115;KSM ETF LVSHO XNDXNNR X2;KSM.F115;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F116;KSM ETF LVSHO DAXNR X2;KSM.F116;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F117;KSM ETF SPTRSMCN CH;KSM.F117;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F118;KSM ETF MWMFTR;KSM.F118;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F119;KSM ETF CMP STK US CH;KSM.F119;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F12;KSM ETF IXENTR;KSM.F12;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F120;KSM ETF DRBN CH;KSM.F120;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F121;KSM ETF SXXR EH;KSM.F121;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F122;KSM ETF SXXR;KSM.F122;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F123;KSM ETF DRBN;KSM.F123;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F124;KSM ETF MCXR EH;KSM.F124;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F125;KSM ETF CMP STK EU EH;KSM.F125;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F126;KSM ET 00 TL B-CPI LBW CO IL;KSM.F126;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F127;KSM ETF SX7R EH;KSM.F127;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F128;KSM ETF MDAXNR;KSM.F128;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F129;KSM ETF MDAXNR CH;KSM.F129;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F13;KSM ETF TEL-DIV;KSM.F13;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F130;KSM ETF SXDR;KSM.F130;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F131;KSM ETF SXAR;KSM.F131;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F132;KSM ETF IXMNTR;KSM.F132;ILS;ETF;IL;TASE*;Desenvolvido;1
